# Aráceas. Reserva Nacional Forestal Bosque de Yotoco. 26/05/2023. Datos colectados por estudiantes del curso de Fundamentos de Ecología de Poblaciones 2023-01. 
grupo,altura_m,diametro_cm,numero_hojas
1,0.70,1.27,12
1,0.74,1.62,16
1,1.01,1.24,10
1,1.00,1.34,9
1,0.83,1.46,10
1,0.76,1.27,12
1,1.36,1.43,17
1,0.87,1.21,4
1,1.25,1.27,20
1,1.01,1.59,15
2,1.20,1.00,18
2,1.16,1.10,8
2,1.31,1.20,16
2,1.04,1.10,12
2,0.85,1.10,15
2,0.84,1.00,15
2,1.33,2.30,13
2,0.80,1.00,12
2,0.81,0.90,10
2,1.08,1.30,14
3,1.10,1.27,16
3,0.74,1.27,15
3,1.75,1.27,14
3,1.80,2.07,31
3,1.24,1.72,18
3,1.52,1.27,15
3,0.90,1.11,15
3,1.80,1.59,14
3,1.20,1.27,3.4
3,1.66,1.59,9
4,3.00,1.21,25
4,2.46,1.60,9
4,1.30,0.30,15
4,1.80,1.10,18
4,1.88,1.00,15
4,1.50,1.20,12
4,1.94,1.01,17
4,1.64,1.40,10
4,2.15,1.50,19
4,1.60,1.20,5
5,3.00,3.80,25
5,2.46,1.60,9
5,1.30,0.30,15
5,1.80,1.10,18
5,1.88,1.00,15
5,1.50,1.20,12
5,1.94,3.20,17
5,1.64,1.40,10
5,2.15,1.50,19
5,1.60,1.20,5
