# Espeletia argentea y corymbosa. Parcelas de 10mx10m subividas en 25 subparcelas de 2mx2m. Paramo El Verjón. Datos colectados por estudiantes del curso de Fundamentos de Ecología de Poblaciones 2023-01.
parcela,subparcela,individuos_corymbosa,individuos_argentea
1,1,3,2
1,2,1,5
1,3,2,9
1,4,6,5
1,5,3,13
1,6,3,1
1,7,4,1
1,8,3,9
1,9,5,4
1,10,1,0
1,11,6,0
1,12,2,4
1,13,2,9
1,14,2,13
1,15,1,5
1,16,4,0
1,17,2,2
1,18,0,7
1,19,0,8
1,20,0,5
1,21,4,0
1,22,1,4
1,23,0,6
1,24,0,3
1,25,0,8
2,1,5,0
2,2,2,0
2,3,5,0
2,4,1,0
2,5,1,0
2,6,4,0
2,7,0,1
2,8,6,0
2,9,8,0
2,10,6,0
2,11,0,0
2,12,0,1
2,13,3,1
2,14,1,0
2,15,5,0
2,16,0,3
2,17,0,1
2,18,1,0
2,19,1,0
2,20,1,0
2,21,0,5
2,22,0,1
2,23,0,0
2,24,0,0
2,25,1,1
3,1,0,6
3,2,3,0
3,3,2,0
3,4,0,0
3,5,0,0
3,6,2,3
3,7,6,5
3,8,5,0
3,9,8,0
3,10,0,0
3,11,5,0
3,12,8,0
3,13,1,0
3,14,0,0
3,15,0,6
3,16,4,1
3,17,2,0
3,18,5,0
3,19,3,0
3,20,2,0
3,21,4,0
3,22,8,0
3,23,8,0
3,24,9,0
3,25,7,1
