,todas,parcela_1,parcela_2,parcela_3
mean_x,2.12,4.92,0.56,0.88
total_n,75.0,25.0,25.0,25.0
chi2_statistic,158945.0008285032,226.62846960067498,154.71429156563278,631.0756430194276
chi2_critical_0dot05,21.02606981748307,21.02606981748307,9.487729036781154,11.070497693516351
chi2_p_value,0.0,0.0,5.234540689791345e-09,9.481304630298837e-14
observed_variance,10.431351351351351,14.826666666666668,1.3399999999999999,3.693333333333334
coeficiente_dispersion,4.920448750637429,3.0135501355013554,2.3928571428571423,4.196969696969697
t_statistic,23.847158762331823,6.97514227655109,4.824998678227585,11.074627890819187
t_critical_0dot05,1.6657068926453513,1.7108820799094275,1.7108820799094275,1.7108820799094275
t_p_value,0.0,1.6329256768976563e-07,3.240344158761399e-05,3.2293723251086703e-11
