,todas,parcela_1,parcela_2,parcela_3
mean_x,2.64,2.2,2.04,3.68
total_n,75.0,25.0,25.0,25.0
chi2_statistic,139.48576049215774,10.7581265432261,71.13947489222569,76.684785035956
chi2_critical_0dot05,15.507313055865453,11.070497693516351,14.067140449340167,15.507313055865453
chi2_p_value,3.885780586188048e-15,6.0145602753025607e-05,1.4259482483680586e-11,4.660716257376407e-13
observed_variance,6.665945945945945,3.5000000000000004,5.956666666666667,9.393333333333334
coeficiente_dispersion,2.524979524979525,1.590909090909091,2.919934640522876,2.552536231884058
t_statistic,9.276088314017432,2.046969136217765,6.65084868919422,5.378143268429449
t_critical_0dot05,1.6657068926453513,1.7108820799094275,1.7108820799094275,1.7108820799094275
t_p_value,2.5091040356528538e-14,0.025880636474900798,3.5178798851731585e-07,8.001557321057895e-06
